Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
303750.61,80.75770833,29.4,18.9,0,19.4
53762.88,80.76041667,14.5,9.7,0,5.4
366432.09,80.76395833,27.6,15.5,2.4,17.6
213755.73,80.77166667,32.9,13.8,0,24.6
380743.48,80.87229167,23.8,13.5,0,10.7
254185.43,81.03375,15.4,9.5,0.2,6.7
321988.31,81.0725,32.1,22.3,2.8,19.3
59646.24,81.113125,12.2,3.8,0.2,6.4
340687.24,81.14520833,30.1,16.9,1.8,17.9
206438.16,81.17729167,21.8,15.9,0.4,18.6
53289.22,81.27375,12.1,9.8,1,3.9
277592.52,81.29291667,25.9,15.2,0,13.6
290810.65,81.36604167,23.3,15.6,0,13.7
53123.37,81.38229167,19.4,10,0,7.7
377522.46,81.42854167,28.1,18.5,0,17
52666.2,81.49104167,17.9,9.9,0,14.1
377031.54,81.52770833,33.7,20.1,15.4,25.7
362875.77,81.551875,23.8,20.7,0,8.9
297902.18,81.63083333,23.1,12.1,0,9.8
50751.83,81.686875,15.9,6.2,0.2,1.9
61012.24,81.73833333,11.5,7.9,0.6,6
293779.38,81.79520833,25.7,17.3,0,11.4
353404.11,81.80979167,35.9,22.9,0,24.5
221536.57,81.848125,28.5,14.6,0,4.9
376775.68,81.89833333,25.7,19.2,0,9
385602.03,81.931875,22.2,18,3,4.4
338043.09,82.16625,33.3,22.3,0,25
222720.13,82.20479167,17.7,13.2,0.4,12.8
60514.23,82.21375,11,6.6,1.4,5.9
339270.6,82.245625,34.1,22.4,0,19.4
265881.26,82.26520833,14.8,9.2,0,5.2
426043.93,82.32395833,19.6,7.8,0,10.1
328789.99,82.3575,30.5,22.3,4.4,19.8
364448.61,82.39,27.5,15.8,0.4,16.1
58745.21,82.46229167,14.3,5.9,0,7.3
336664.96,82.48208333,24.4,17.1,0.2,27.8
65403.9,82.51395833,17.2,11.3,0.4,7.7
59188.5,82.53833333,14.5,5.2,0,5.4
411006.6,82.708125,16.5,7.6,0,11.6
387756.25,82.70958333,25,18.8,12,4.3
260458.59,82.78854167,14,7.8,9.2,7.2
369461.82,82.93833333,27.8,19.5,0,10.9
291093.29,83.10770833,27.5,15.8,0,19.4
53377.19,83.13,19.2,10.9,0,7.9
270365.45,83.146875,13.5,5.3,0,6.9
236826.27,83.19916667,15.1,6.6,2,10.2
294776.26,83.21479167,25,16.5,0,15.4
202114.86,83.22833333,17.4,12.4,2,5.2
268238.28,83.293125,14.3,9,1,7.9
369178.62,83.48083333,21.5,17.6,2.4,8.6
58922.58,83.58479167,17.9,10.9,0,7.5
440453.31,83.63479167,17.9,12.2,10,8.9
329599.6,83.68041667,22.8,21.3,0.4,5.3
61212.44,83.76541667,15.6,7.4,8.6,11
72977.18,83.81583333,14.1,10.7,4,6.8
187180.85,83.838125,26.5,9.5,0,15.9
384033.72,83.84104167,22,13.2,0,12.8
202525.31,83.858125,15.6,9.1,2.2,11.4
425305.22,83.96,17,8.3,0,11.5
382472.21,84.04541667,28.6,17.5,0,23.8
213385.69,84.09770833,19.2,11.8,3.2,23.7
62193.73,84.204375,14.5,3.2,0.8,6.5
414198.08,84.24520833,18.3,13.5,0,13.5
342166.67,84.31291667,21.4,18.6,41.2,3.7
376934.89,84.31541667,22.5,14.5,0,11.3
256306.39,84.31625,17.3,10,2.2,7
271565.09,84.32125,14.4,7,8.2,7.8
336849.03,84.37291667,32.8,21.8,0.2,22.9
189573.44,84.423125,23.3,13,1,23.5
350247.78,84.429375,33.3,22.6,0,20.6
354901.13,84.47708333,34.6,23.5,0,20.3
56217.82,84.50854167,15.2,10.3,4,7.5
61329.83,84.60916667,17.5,11.2,1,8.3
400139.53,84.61416667,20.9,11.5,0,6
71142.62,84.63604167,14,11.7,0,8.2
50912.5,84.69895833,16,5.3,0,6.7
55961.65,84.70479167,15.9,13,6.8,9.1
228939.76,84.73125,18.2,9,0,6.1
49397.72,84.8225,15.2,5.4,0,12
393951.76,84.918125,21,11,0,9.1
301576.68,84.94854167,31.4,21.5,1.4,19.7
55825.05,85.09666667,10.8,6.8,4.1,6
57503.32,85.25125,13.9,6.4,0,7.2
226373.47,85.33104167,16.4,10.2,9.8,7.7
378681.56,85.34708333,27.8,20.7,4.6,5.6
70893.83,85.37145833,33.5,16.1,0,25.3
264240.78,85.37208333,13.5,9.1,0,4.5
225981.27,85.38729167,21.5,6.2,0,10.6
371788.38,85.54229167,22.5,17.2,0,9
402960.73,85.58041667,29.7,20.6,0,22.2
375050.32,85.675,31,20.1,0,27
283669.39,85.711875,22,9.4,0,17.2
304564.22,85.80083333,20.6,8,0,14.2
302605.06,85.97041667,20.7,12.7,0,7.6
321980.58,85.99291667,33,21.9,0.2,27.9
50584.01,86.02520833,16.6,9.9,7.6,9.1
266263.04,86.13708333,14.3,7.8,7.8,4.6
349690.48,86.15,31.8,24.5,0,15.4
220833.76,86.16375,17.7,12.2,0.1,6.6
226528.46,86.22291667,23.2,14.6,0,8.2
253526.73,86.23291667,15.1,3.8,0,14.5
61104.26,86.24666667,11.7,1.9,0,6.2
69098.49,86.27979167,16.5,10.7,6.2,11.9
407017.42,86.36229167,27.4,22,0,17.1
337323.9,86.43958333,27.6,14.5,0,15.6
60568.97,86.52854167,22.5,10.7,0,12
59679.28,86.616875,18.7,10.7,6.6,7.9
326296.12,86.65895833,34.3,23.5,0,22.1
375162.05,86.68833333,27.2,17.6,0,17.7
406970.06,86.92229167,21.2,9.7,0,13.5
60556.77,86.92708333,13.3,5.3,0,6.3
61175.48,87.04583333,10.1,3.1,3,4.4
375057.33,87.11729167,25.9,13.8,0,11.4
296531.46,87.17083333,24.7,16.2,3.4,12
60964.58,87.17166667,19.3,9.9,9.4,8.7
263478.4,87.19666667,14.3,8.9,5.2,7.6
238236.22,87.2875,21.3,9.9,0,10.2
331725.77,87.39770833,31.3,23.1,0,24.3
271733.5,87.42770833,15.9,8.6,0,6.6
381144.81,87.50104167,27.5,19.2,0,26.5
370578.01,87.56020833,24.4,17.6,2.2,6.3
